#,Name,Catch Rate,HP,Male,Female,Egg Group,Held Item,Location
1,Bulbasaur,45,45,87.50%,12.50%,"Monster, Plant",None,Grass | Kanto | Route 5 | Rare | Lvl.10
4,Charmander,45,39,87.50%,12.50%,"Monster, Dragon",None,Cave | Kanto | Rock Tunnel | Rare | Lvl.15
7,Squirtle,45,44,87.50%,12.50%,"Monster, Water A",None,Cave | Kanto | Seafoam Islands | Rare | Lvl.25
10,Caterpie,255,45,50%,50%,Bug,None,"Grass | Kanto | Pattern Bush | Uncommon | Lvl.50-52
Grass |  | Kanto | Route 2 | Rare | Lvl.3-5
Grass | Kanto | Route 24 | Uncommon | Lvl.11-12
Grass | Kanto | Route 25 | Uncommon | Lvl.11-12
Grass | Kanto | Viridian Forest | Common | Lvl.5-7"
11,Metapod,120,50,50%,50%,Bug,None,"Grass | Kanto | Pattern Bush | Uncommon | Lvl.50-52
Grass | Kanto | Route 24 | Rare | Lvl.12
Grass | Kanto | Route 25 | Rare | Lvl.12
Grass | Kanto | Viridian Forest | Uncommon | Lvl.7
Grass | Unova | Route 12 | Uncommon | Lvl.48-49"
12,Butterfree,45,60,50%,50%,Bug,Silver Powder,"Grass | Kanto | Pattern Bush | Rare | Lvl.50-52
Grass | Kanto | Route 24 (Morning) | Rare | Lvl.12-14
Grass | Kanto | Route 25 (Morning/Day) | Rare | Lvl.12-14
Dark Grass | Unova | Route 12 | Uncommon | Lvl.53-54"
13,Weedle,255,40,50%,50%,Bug,None,"Grass | Kanto | Pattern Bush | Uncommon | Lvl.50-52
Grass | Kanto | Route 2 | Rare | Lvl.3-5
Grass | Kanto | Route 24 | Uncommon | Lvl.11-12
Grass | Kanto | Route 25 | Uncommon | Lvl.11-12
Grass | Kanto | Viridian Forest | Common | Lvl.5-7"
14,Kakuna,120,45,50%,50%,Bug,None,"Grass | Kanto | Pattern Bush | Uncommon | Lvl.50-52
Grass | Kanto | Route 24 | Rare | Lvl.12
Grass | Kanto | Route 25 | Rare | Lvl.12
Grass | Kanto | Viridian Forest | Uncommon | Lvl.7
Grass | Unova | Route 12 | Uncommon | Lvl.48-49"
15,Beedrill,45,65,50%,50%,Bug,Poison Barb,"Grass | Kanto | Pattern Bush | Rare | Lvl.50-52
Dark Grass | Unova | Route 12 | Uncommon | Lvl.53-54"
16,Pidgey,255,40,50%,50%,Flying,None,"Grass | Kanto | Berry Forest | Uncommon | Lvl.41-43
Grass | Kanto | Bond Bridge | Uncommon | Lvl.40-42
Grass | Kanto | Five Isle Meadow | Common | Lvl.48-50
Grass | Kanto | Route 1 | Very Common | Lvl.2-5
Grass | Kanto | Route 2 | Common | Lvl.4-6
Grass | Kanto | Route 3 | Uncommon | Lvl.6-7
Grass | Kanto | Route 5 | Uncommon | Lvl.12-15
Grass | Kanto | Route 6 | Uncommon | Lvl.12-15
Grass | Kanto | Route 7 | Uncommon | Lvl.17-18
Grass | Kanto | Route 8 | Uncommon | Lvl.17-18
Grass | Kanto | Route 11 | Uncommon | Lvl.13-17
Grass | Kanto | Route 12 | Uncommon | Lvl.23-27
Grass | Kanto | Route 13 | Uncommon | Lvl.25-27
Grass | Kanto | Route 14 (Morning/Day) | Uncommon | Lvl.27
Grass | Kanto | Route 15 | Rare | Lvl.27
Grass | Kanto | Route 21 | Uncommon | Lvl.27-29
Grass | Kanto | Route 24 | Uncommon | Lvl.12-14
Grass | Kanto | Route 25 | Uncommon | Lvl.12-14
Grass | Kanto | Viridian Forest | Uncommon | Lvl.5-7
Grass | Sinnoh | Route 229 | Uncommon | Lvl.Lvl.47-50"
17,Pidgeotto,120,63,50%,50%,Flying,None,"Grass | Kanto | Berry Forest | Uncommon | Lvl.43-45
Grass | Kanto | Bond Bridge | Uncommon | Lvl.42-44
Grass | Kanto | Five Isle Meadow | Uncommon | Lvl.48-50
Grass | Kanto | Route 7 (Morning/Day) | Rare | Lvl.18-20
Grass | Kanto | Route 8 (Morning/Day) | Rare | Lvl.18-20
Grass | Kanto | Route 11 (Morning/Day) | Rare | Lvl.18
Grass | Kanto | Route 12 | Uncommon | Lvl.26-28
Grass | Kanto | Route 13 | Uncommon | Lvl.29
Grass | Kanto | Route 14 | Uncommon | Lvl.29
Grass | Kanto | Route 15 | Uncommon | Lvl.29
Grass | Kanto | Route 21 | Uncommon | Lvl.30-32"
19,Rattata,255,30,50%,50%,Field,Chilan Berry,"Inside | Kanto | Pokémon Mansion | Uncommon | Lvl.28-30
Grass | Kanto | Route 1 | Very Common | Lvl.2-4
Grass | Kanto | Route 2 | Common | Lvl.3-5
Grass | Kanto | Route 3 | Common | Lvl.5-8
Grass | Kanto | Route 4 | Common | Lvl.8-12
Grass | Kanto | Route 5 | Uncommon | Lvl.12-15
Grass | Kanto | Route 6 | Rare | Lvl.12-15
Grass | Kanto | Route 7 | Uncommon | Lvl.17-18
Grass | Kanto | Route 8 | Uncommon | Lvl.17-18
Grass | Kanto | Route 9 | Uncommon | Lvl.14-17
Grass | Kanto | Route 10 | Rare | Lvl.14-17
Grass | Kanto | Route 11 | Uncommon | Lvl.12-16
Grass | Kanto | Route 16 | Uncommon | Lvl.20-22
Grass | Kanto | Route 17 | Rare | Lvl.22-25
Grass | Kanto | Route 18 | Uncommon | Lvl.24-26
Grass | Kanto | Route 21 | Uncommon | Lvl.27-29
Grass | Kanto | Route 22 | Very Common | Lvl.3-5
Grass | Sinnoh | Route 225 | Rare | Lvl.47
Grass | Sinnoh | Route 226 | Rare | Lvl.47"
20,Raticate,127,55,50%,50%,Field,"Chilan Berry, Oran Berry","Inside | Kanto | Pokémon Mansion | Rare | Lvl.32-38
Grass | Kanto | Route 7 (Night) | Rare | Lvl.20-22
Grass | Kanto | Route 8 (Night) | Rare | Lvl.20-22
Grass | Kanto | Route 9 | Rare | Lvl.20
Grass | Kanto | Route 10 | Rare | Lvl.20
Grass | Kanto | Route 16 | Uncommon | Lvl.22-26
Grass | Kanto | Route 17 | Uncommon | Lvl.25-29
Grass | Kanto | Route 18 | Uncommon | Lvl.28-30
Grass | Kanto | Route 21 | Uncommon | Lvl.30-32
Dark Grass | Unova | Dreamyard | Common | Lvl.47-50
Grass | Sinnoh | Route 225 | Uncommon | Lvl.50-52
Grass | Sinnoh | Route 226 | Common | Lvl.51-52"
21,Spearow,255,40,50%,50%,Flying,Sharp Beak,"Grass | Kanto | Canyon Entrance | Uncommon | Lvl.48-50
Grass | Kanto | Cape Brink | Uncommon | Lvl.39-41
Grass | Kanto | Kindle Road | Uncommon | Lvl.36-38
Grass | Kanto | Mt. Ember | Uncommon | Lvl.38-40
Grass | Kanto | Route 3 | Uncommon | Lvl.6-8
Grass | Kanto | Route 4 | Common | Lvl.8-12
Grass | Kanto | Route 9 | Uncommon | Lvl.14-17
Grass | Kanto | Route 10 | Uncommon | Lvl.14-17
Grass | Kanto | Route 11 | Uncommon | Lvl.13-17
Grass | Kanto | Route 16 | Rare | Lvl.20-22
Grass | Kanto | Route 17 | Rare | Lvl.22-25
Grass | Kanto | Route 18 | Rare | Lvl.24-26
